$SETUP1;Time;;;;;;;;;;;;;;;;;
$SETUP2;sec;;;;;;;;;;;;;;;;;
$D;40,15;;;;;;;0,0;;;;;;;;;0,2;
$D;40,27;;;;;;;;0,0;;;;;;;;0,3;
$D;40,35;;;;;;;;;2,0;;;;;;;0,2;
$D;40,48;;;;;;;;;;0,0;;;;;;0,2;
$D;40,57;;;;;;;;;;;0,9;;;;;0,2;
$D;40,67;;;;;;;;;;;;1,4;;;;0,2;
$D;40,79;5,0;;;;;;;;;;;;;;;0,2;
$D;40,90;;100,0;;;;;;;;;;;;;;0,2;
$D;41,01;;;12,4;;;;;;;;;;;;;0,2;
$D;41,10;;;;99,0;;;;;;;;;;;;0,1;
$D;41,20;;;;;0,1;;;;;;;;;;;0,1;
$D;41,31;;;;;;0,0;;;;;;;;;;0,1;
$D;41,43;;;;;;;0,0;;;;;;;;;0,1;
$D;41,51;;;;;;;;0,0;;;;;;;;0,2;
$D;41,57;;;;;;;;;3,0;;;;;;;0,2;
$D;41,68;;;;;;;;;;0,0;;;;;;0,2;
$D;41,81;;;;;;;;;;;0,6;;;;;0,1;
$D;41,90;;;;;;;;;;;;1,4;;;;0,0;
$D;42,00;5,0;;;;;;;;;;;;;;;0,0;
$D;42,12;;100,0;;;;;;;;;;;;;;0,0;
$D;42,23;;;12,4;;;;;;;;;;;;;0,0;
$D;42,32;;;;99,0;;;;;;;;;;;;0,0;
$D;42,43;;;;;0,1;;;;;;;;;;;0,0;
$D;42,54;;;;;;0,0;;;;;;;;;;0,0;
$D;42,66;;;;;;;0,0;;;;;;;;;0,0;
$D;42,74;;;;;;;;1,0;;;;;;;;0,0;
$D;42,85;;;;;;;;;3,0;;;;;;;0,0;
$D;42,97;;;;;;;;;;0,0;;;;;;0,0;
$D;43,06;;;;;;;;;;;0,2;;;;;0,0;
$D;43,13;;;;;;;;;;;;1,4;;;;0,0;
$D;43,23;5,0;;;;;;;;;;;;;;;0,1;
$D;43,35;;100,0;;;;;;;;;;;;;;0,1;
$D;43,44;;;12,4;;;;;;;;;;;;;0,1;
$D;43,56;;;;100,0;;;;;;;;;;;;0,2;
$D;43,67;;;;;0,1;;;;;;;;;;;0,2;
$D;43,77;;;;;;0,0;;;;;;;;;;0,2;
$D;43,86;;;;;;;0,0;;;;;;;;;0,3;
$D;43,97;;;;;;;;1,0;;;;;;;;0,3;
$D;44,08;;;;;;;;;3,0;;;;;;;0,3;
$D;44,17;;;;;;;;;;0,0;;;;;;0,3;
$D;44,29;;;;;;;;;;;0,4;;;;;0,3;
$D;44,38;;;;;;;;;;;;1,4;;;;0,3;
$D;44,49;5,0;;;;;;;;;;;;;;;0,2;
$D;44,60;;100,0;;;;;;;;;;;;;;0,2;
$D;44,72;;;12,4;;;;;;;;;;;;;0,1;
$D;44,76;;;;100,0;;;;;;;;;;;;0,1;
$D;44,87;;;;;0,1;;;;;;;;;;;0,1;
$D;44,98;;;;;;0,0;;;;;;;;;;0,1;
$D;45,09;;;;;;;0,0;;;;;;;;;0,1;
