# Funtana
000000000;4310520667;0;MUI-75;
000000000;4310520667;1;Voltage;V
000000000;4310520667;2;Current;A
000000000;4310520667;3;Capacity;mAh
000000000;4310520667;4;Run time;s
000225100;4310520667;4;5;0;30
000225316;4310520667;1;1;1;395
000225316;4310520667;2;1;1;79
000225316;4310520667;3;4;0;306
000225316;4310520667;4;5;0;30
000225516;4310520667;1;1;1;395
000225516;4310520667;2;1;1;78
000225516;4310520667;3;4;0;306
000225516;4310520667;4;5;0;30
000225536;4310520667;1;1;1;395
000225536;4310520667;2;1;1;78
000225536;4310520667;3;4;0;306
000225536;4310520667;4;5;0;30
000225737;4310520667;1;1;1;395
000225737;4310520667;2;1;1;77
000225737;4310520667;3;4;0;307
000225737;4310520667;4;5;0;30
000225936;4310520667;1;1;1;395
000225936;4310520667;2;1;1;76
000225936;4310520667;3;4;0;307
000225936;4310520667;4;5;0;31
000226157;4310520667;1;1;1;395
000226157;4310520667;2;1;1;75
000226157;4310520667;3;4;0;308
000226157;4310520667;4;5;0;31
000226376;4310520667;1;1;1;396
000226376;4310520667;2;1;1;73
000226376;4310520667;3;4;0;308
000226376;4310520667;4;5;0;31
000226573;4310520667;1;1;1;396
000226573;4310520667;2;1;1;63
000226573;4310520667;3;4;0;309
000226573;4310520667;4;5;0;31
000226823;4310520667;1;1;1;398
000226823;4310520667;2;1;1;58
000226823;4310520667;3;4;0;309
000226823;4310520667;4;5;0;31
000226996;4310520667;1;1;1;398
000226996;4310520667;2;1;1;58
000226996;4310520667;3;4;0;309
000226996;4310520667;4;5;0;32
000227216;4310520667;1;1;1;398
000227216;4310520667;2;1;1;54
000227216;4310520667;3;4;0;310
000227216;4310520667;4;5;0;32
000227413;4310520667;1;1;1;398
000227413;4310520667;2;1;1;56
000227413;4310520667;3;4;0;310
000227413;4310520667;4;5;0;32
000227663;4310520667;1;1;1;398
000227666;4310520667;2;1;1;56
000227666;4310520667;3;4;0;310
000227666;4310520667;4;5;0;32
000228076;4310520667;1;1;1;398
000228076;4310520667;2;1;1;57
000228076;4310520667;3;4;0;311
000228076;4310520667;4;5;0;33
000228296;4310520667;1;1;1;397
000228296;4310520667;2;1;1;67
000228296;4310520667;3;4;0;311
